,product_id,category,animal,size,price,sales,rating,repeat_purchase
58,59,Toys,Dog,medium,33.94,1152.57,6,0
59,60,Housing,Cat,small,25.81,814.06,3,0
60,61,Accessory,Dog,large,32.99,1068.83,4,1
61,62,Equipment,Fish,medium,17.9,506.2,3,1
62,63,Food,Fish,large,30.96,1016.49,5,0
63,64,Food,Dog,large,40.93,1459.08,3,0
64,65,Medicine,Dog,medium,24.98,836.05,5,1
65,66,Housing,Cat,small,26.08,831.86,4,1
66,67,Equipment,Fish,small,23.08,710.55,5,0
67,68,Housing,Dog,medium,26.0,675.06,3,1
68,69,Equipment,Cat,medium,22.95,790.28,6,0
69,70,Toys,Dog,small,39.03,1411.58,6,0
70,71,Equipment,Dog,large,27.93,1446.43,0,0
71,72,Medicine,Bird,medium,34.96,1207.21,6,1
72,73,Unknown,Dog,small,33.13,1101.89,4,0
73,74,Food,Bird,large,27.93,1864.01,0,0
74,75,Equipment,Fish,small,23.19,706.38,6,1
75,76,Food,Fish,large,31.0,1023.95,6,1
76,77,Housing,Cat,medium,21.05,614.54,3,1
77,78,Food,Cat,small,31.5,1090.84,6,0
78,79,Medicine,Cat,small,24.7,975.88,6,1
79,80,Accessory,Dog,small,27.76,764.19,3,0
80,81,Accessory,Cat,medium,18.06,518.45,6,1
81,82,Equipment,Fish,small,22.99,709.87,2,0
82,83,Equipment,Cat,small,28.43,1047.28,5,1
83,84,Toys,Bird,medium,43.99,1534.9,7,0
84,85,Equipment,Dog,medium,27.93,870.15,0,1
85,86,Food,Bird,medium,41.03,1206.69,6,1
86,87,Equipment,Cat,small,28.28,1042.37,5,0
87,88,Food,Dog,large,40.93,1463.29,4,1
88,89,Housing,Cat,small,25.96,825.63,4,0
89,90,Equipment,Cat,small,27.93,1014.17,0,0
90,91,Equipment,Cat,small,27.86,1022.0,6,1
91,92,Toys,Dog,small,38.95,1418.52,6,1
92,93,Housing,Bird,medium,36.22,965.85,4,0
93,94,Accessory,Dog,medium,23.02,578.95,5,0
94,95,Housing,Cat,small,27.93,821.2,0,0
95,96,Housing,Cat,medium,21.14,617.64,7,1
96,97,Accessory,Bird,large,42.99,1417.24,5,0
97,98,Equipment,Cat,small,27.95,1026.77,6,1
98,99,Equipment,Dog,large,38.0,1447.26,5,0
99,100,Equipment,Cat,small,28.2,1035.18,6,1
100,101,Housing,Dog,small,27.93,892.3,0,1
101,102,Toys,Dog,small,39.16,1425.23,3,1
102,103,Medicine,Dog,medium,25.07,846.96,4,0
103,104,Medicine,Fish,medium,15.0,464.88,6,1
104,105,Housing,Bird,medium,35.95,962.13,2,1
105,106,Equipment,Cat,small,27.86,1027.49,3,0
106,107,Medicine,Cat,large,30.03,1321.82,8,1
107,108,Equipment,Fish,small,22.98,712.43,6,0
108,109,Equipment,Cat,small,27.97,1028.72,5,1
109,110,Toys,Fish,small,28.74,969.57,4,1
110,111,Equipment,Dog,small,27.93,1112.08,0,1
111,112,Food,Cat,medium,26.05,829.81,6,1
112,113,Housing,Bird,large,45.99,1558.19,6,0
113,114,Housing,Cat,small,25.83,821.45,8,0
114,115,Equipment,Dog,small,32.98,1106.85,6,1
115,116,Accessory,Fish,large,22.75,670.79,3,0
116,117,Toys,Fish,large,27.93,1300.33,0,1
117,118,Equipment,Cat,small,28.03,1029.38,6,1
118,119,Equipment,Cat,small,27.7,1021.27,4,0
119,120,Toys,Cat,medium,29.02,1073.29,6,1
120,121,Food,Dog,small,27.93,1132.38,0,0
121,122,Equipment,Cat,medium,23.19,801.04,3,1
122,123,Food,Dog,medium,30.92,885.87,4,1
123,124,Housing,Dog,medium,26.32,685.86,2,1
124,125,Equipment,Cat,small,28.2,1047.38,5,0
125,126,Equipment,Cat,small,27.99,1028.27,6,0
126,127,Medicine,Cat,small,25.07,999.58,8,1
127,128,Toys,Fish,medium,27.93,747.58,0,0
128,129,Equipment,Cat,medium,22.98,795.34,7,0
129,130,Toys,Fish,large,34.18,1307.35,4,0
130,131,Housing,Fish,small,21.07,538.15,4,1
131,132,Equipment,Cat,small,27.93,1038.07,0,1
132,133,Housing,Bird,large,27.93,1556.37,0,1
133,134,Housing,Fish,small,27.93,529.96,0,1
134,135,Food,Dog,large,27.93,1451.97,0,0
135,136,Medicine,Bird,small,27.93,1495.56,0,1
136,137,Housing,Cat,small,25.97,823.94,5,1
137,138,Equipment,Fish,small,23.14,711.93,4,0
138,139,Accessory,Bird,large,42.85,1411.53,5,0
139,140,Toys,Cat,small,34.08,1348.96,6,1
140,141,Toys,Dog,small,27.93,1390.98,0,1
141,142,Equipment,Cat,medium,22.97,790.52,5,1
142,143,Toys,Fish,medium,24.24,749.2,6,1
143,144,Food,Bird,medium,41.02,1204.42,3,1
144,145,Equipment,Cat,small,27.95,1025.34,8,0
145,146,Food,Dog,large,41.04,1456.69,8,0
146,147,Equipment,Fish,small,22.68,697.2,2,0
147,148,Medicine,Cat,small,24.83,981.35,7,1
148,149,Equipment,Cat,small,27.77,1022.07,5,0
149,150,Equipment,Cat,small,27.99,1026.36,6,1
150,151,Food,Bird,large,50.92,1859.84,5,1
151,152,Food,Dog,large,41.01,1464.8,4,1
152,153,Housing,Bird,medium,36.08,962.39,5,1
153,154,Housing,Cat,medium,21.12,619.13,4,1
154,155,Housing,Fish,medium,16.11,373.72,5,0
155,156,Food,Cat,small,30.96,1059.68,7,1
156,157,Food,Bird,small,45.83,1460.05,6,1
157,158,Medicine,Dog,small,29.99,1088.15,3,0
158,159,Accessory,Dog,medium,27.93,583.06,0,0
159,160,Toys,Fish,large,34.17,1299.15,5,1
160,161,Medicine,Fish,small,19.76,657.92,3,1
161,162,Food,Dog,medium,30.86,880.28,5,1
162,163,Housing,Cat,small,26.13,827.52,6,1
163,164,Medicine,Fish,large,24.94,941.39,6,0
164,165,Food,Bird,large,51.18,1869.97,6,1
165,166,Medicine,Cat,medium,20.06,741.16,4,0
166,167,Equipment,Cat,small,27.93,1031.5,6,1
167,168,Food,Cat,medium,26.24,837.67,6,1
168,169,Food,Cat,medium,25.88,825.61,5,1
169,170,Equipment,Cat,small,28.17,1041.59,3,0
170,171,Toys,Dog,small,39.26,1412.54,4,0
171,172,Toys,Cat,small,34.17,1350.32,8,0
172,173,Equipment,Cat,small,28.07,1034.36,5,1
173,174,Unknown,Bird,large,51.1,1868.47,5,0
174,175,Toys,Cat,small,34.03,1338.54,6,0
175,176,Food,Bird,medium,41.08,1204.46,4,1
176,177,Medicine,Dog,medium,25.05,844.17,5,1
177,178,Medicine,Cat,medium,19.88,734.01,8,0
178,179,Unknown,Bird,large,50.99,1855.16,5,1
179,180,Housing,Fish,medium,15.91,367.02,5,0
180,181,Housing,Fish,small,20.79,529.93,3,0
181,182,Food,Bird,medium,40.88,1206.88,7,1
182,183,Food,Fish,small,26.3,740.93,3,1
183,184,Equipment,Cat,medium,22.86,787.87,4,1
184,185,Toys,Cat,small,34.11,1345.58,6,1
185,186,Toys,Dog,medium,34.02,1158.66,5,0
186,187,Housing,Cat,large,27.93,1125.8,0,1
187,188,Medicine,Fish,small,20.03,663.35,5,1
188,189,Food,Fish,small,26.67,752.3,3,1
189,190,Food,Dog,large,41.15,1467.02,6,0
190,191,Equipment,Dog,small,33.1,1118.36,3,0
191,192,Equipment,Cat,small,28.31,1048.92,8,1
192,193,Medicine,Dog,medium,25.06,842.46,3,1
193,194,Medicine,Dog,small,27.93,1081.7,0,1
194,195,Food,Cat,small,31.04,1074.04,4,0
195,196,Equipment,Cat,small,27.98,1029.34,7,0
196,197,Medicine,Cat,small,25.02,992.22,6,1
197,198,Equipment,Cat,small,27.65,1019.82,6,0
198,199,Equipment,Dog,small,33.09,1110.67,3,1
199,200,Equipment,Dog,medium,28.0,873.45,2,1
200,201,Toys,Dog,small,27.93,1407.71,0,1
201,202,Equipment,Fish,small,23.01,703.91,3,1
202,203,Food,Bird,small,46.02,1470.55,2,1
203,204,Housing,Bird,large,45.94,1541.46,5,0
204,205,Equipment,Cat,small,28.04,1039.48,5,1
205,206,Toys,Dog,small,38.87,1408.33,4,1
206,207,Medicine,Cat,medium,20.05,740.8,4,0
207,208,Medicine,Fish,small,19.86,659.93,3,0
208,209,Food,Dog,small,35.99,1122.98,5,1
209,210,Equipment,Cat,small,27.93,1033.55,0,1
210,211,Equipment,Fish,small,22.9,700.8,3,0
211,212,Toys,Cat,small,27.93,1383.43,0,0
212,213,Toys,Bird,small,48.91,1816.23,6,1
213,214,Housing,Cat,small,25.91,822.17,4,1
214,215,Food,Bird,small,45.83,1461.36,4,0
215,216,Accessory,Dog,large,33.03,1062.88,4,1
216,217,Equipment,Cat,small,27.89,1029.56,3,1
217,218,Food,Dog,small,35.97,1111.28,3,0
218,219,Toys,Cat,large,27.93,1729.76,0,0
219,220,Equipment,Fish,small,23.16,710.4,2,0
220,221,Housing,Dog,large,35.89,1177.84,5,1
221,222,Food,Fish,small,25.84,729.2,4,1
222,223,Medicine,Dog,large,34.85,1416.51,7,1
223,224,Accessory,Fish,large,22.94,669.84,5,1
224,225,Food,Fish,large,31.08,1020.19,3,0
225,226,Medicine,Cat,small,25.16,989.87,4,1
226,227,Housing,Fish,large,26.13,786.17,4,1
227,228,Food,Bird,large,50.84,1846.82,6,1
228,229,Equipment,Dog,small,32.91,1093.36,3,0
229,230,Equipment,Cat,small,28.17,1034.28,5,0
230,231,Medicine,Dog,large,27.93,1423.72,0,0
231,232,Food,Fish,small,25.83,731.17,6,0
232,233,Unknown,Cat,small,27.74,1024.25,6,1
233,234,Food,Cat,large,36.03,1400.69,7,1
234,235,Food,Dog,medium,30.75,880.03,5,0
235,236,Accessory,Bird,large,27.93,1411.55,0,1
236,237,Equipment,Fish,small,23.05,699.21,3,1
237,238,Toys,Fish,medium,24.05,747.39,6,0
238,239,Equipment,Cat,small,27.96,1037.79,5,0
239,240,Toys,Cat,small,33.93,1343.52,6,1
240,241,Equipment,Cat,medium,23.28,801.56,3,1
241,242,Toys,Cat,small,34.01,1347.06,7,1
242,243,Housing,Fish,medium,16.23,375.37,4,0
243,244,Housing,Dog,small,30.92,876.82,6,1
244,245,Toys,Fish,medium,24.03,745.79,4,0
245,246,Medicine,Cat,medium,19.87,734.24,3,1
246,247,Equipment,Cat,small,27.97,1034.03,4,0
247,248,Food,Fish,medium,21.02,544.63,2,1
248,249,Accessory,Bird,large,42.97,1420.58,6,1
249,250,Toys,Dog,large,27.93,1795.05,0,0
250,251,Equipment,Dog,large,38.32,1461.63,6,0
251,252,Medicine,Cat,small,24.96,984.98,7,1
252,253,Accessory,Cat,small,23.07,722.66,5,1
253,254,Accessory,Fish,medium,12.89,288.01,3,0
254,255,Medicine,Cat,small,25.09,989.83,6,1
255,256,Equipment,Dog,small,32.96,1106.18,5,1
256,257,Housing,Cat,small,27.93,823.68,0,1
257,258,Housing,Fish,small,21.22,540.81,3,0
258,259,Equipment,Cat,small,28.33,1044.42,4,0
259,260,Toys,Dog,small,38.89,1417.68,5,0
260,261,Food,Dog,small,35.87,1118.67,6,1
261,262,Equipment,Cat,small,28.03,1034.78,6,1
262,263,Food,Fish,small,25.92,729.11,4,1
263,264,Equipment,Fish,medium,18.08,511.72,5,1
264,265,Toys,Cat,small,33.87,1350.59,6,0
265,266,Equipment,Cat,small,27.93,1030.43,0,0
266,267,Toys,Fish,small,28.92,964.24,4,1
267,268,Unknown,Fish,small,23.12,708.32,4,1
268,269,Equipment,Cat,small,27.87,1020.96,5,1
269,270,Medicine,Bird,medium,35.03,1207.13,6,1
270,271,Toys,Dog,medium,33.93,1144.31,5,0
271,272,Food,Dog,large,41.04,1470.65,6,1
272,273,Housing,Dog,small,31.23,884.46,3,1
273,274,Equipment,Fish,small,22.93,703.79,5,1
274,275,Medicine,Fish,medium,15.03,464.98,3,1
275,276,Toys,Cat,medium,29.01,1074.06,3,1
276,277,Accessory,Dog,medium,27.93,574.23,0,1
277,278,Food,Dog,small,35.99,1120.11,4,0
278,279,Medicine,Cat,small,27.93,986.94,0,0
279,280,Toys,Dog,large,43.9,1795.77,5,1
280,281,Equipment,Cat,small,28.2,1034.1,3,1
281,282,Toys,Fish,small,29.0,972.44,8,1
282,283,Housing,Cat,large,31.04,1124.81,5,1
283,284,Food,Cat,medium,26.1,834.51,4,0
284,285,Food,Dog,large,41.11,1467.21,4,1
285,286,Equipment,Cat,small,27.93,1029.17,0,1
286,287,Equipment,Cat,medium,27.93,798.26,0,0
287,288,Equipment,Cat,small,28.1,1043.5,7,0
288,289,Housing,Fish,medium,27.93,363.73,0,1
289,290,Equipment,Cat,small,27.82,1026.3,8,1
290,291,Toys,Cat,small,34.0,1346.68,5,0
291,292,Food,Bird,large,50.9,1861.97,4,1
292,293,Food,Bird,large,50.98,1864.04,6,0
293,294,Toys,Cat,medium,29.19,1087.59,4,1
294,295,Toys,Bird,large,54.05,2249.4,4,0
295,296,Toys,Fish,medium,24.16,747.43,4,1
296,297,Toys,Bird,medium,43.92,1525.97,6,1
297,298,Equipment,Fish,small,27.93,712.28,0,1
298,299,Medicine,Fish,medium,15.05,464.52,6,1
299,300,Accessory,Dog,small,27.82,772.16,5,1
300,301,Food,Cat,medium,26.06,832.08,6,1
301,302,Toys,Cat,small,33.91,1346.02,6,0
302,303,Equipment,Cat,small,28.0,1025.83,4,1
303,304,Food,Fish,large,30.97,1014.57,3,1
304,305,Equipment,Fish,small,22.98,707.63,5,0
305,306,Toys,Cat,small,33.97,1349.03,6,1
306,307,Equipment,Cat,small,27.93,1034.74,0,1
307,308,Equipment,Cat,medium,22.93,787.3,3,1
308,309,Toys,Cat,small,34.12,1364.65,6,0
309,310,Accessory,Dog,medium,22.92,577.97,3,0
310,311,Medicine,Dog,medium,25.19,846.27,5,1
311,312,Food,Dog,medium,30.85,885.8,4,1
312,313,Food,Dog,medium,27.93,882.34,0,1
313,314,Equipment,Cat,small,28.18,1036.46,6,0
314,315,Accessory,Bird,medium,33.1,860.69,5,0
315,316,Housing,Dog,small,30.82,881.02,4,1
316,317,Equipment,Cat,small,28.42,1045.29,5,1
317,318,Food,Cat,medium,26.08,837.94,4,1
318,319,Food,Fish,medium,20.89,538.41,5,0
319,320,Accessory,Bird,medium,27.93,859.11,0,1
320,321,Housing,Cat,small,25.81,820.54,5,1
321,322,Equipment,Cat,small,27.91,1030.16,5,0
322,323,Food,Bird,medium,41.01,1210.66,4,0
323,324,Toys,Cat,small,33.84,1346.25,5,1
324,325,Toys,Cat,small,34.53,1356.71,8,1
325,326,Food,Fish,medium,21.02,543.87,4,0
326,327,Equipment,Fish,small,23.28,716.79,4,1
327,328,Toys,Cat,medium,28.86,1064.54,5,1
328,329,Food,Bird,large,27.93,1859.03,0,1
329,330,Equipment,Fish,small,23.02,708.63,6,1
330,331,Equipment,Cat,small,27.98,1036.31,7,1
331,332,Food,Dog,large,41.14,1466.3,6,1
332,333,Food,Fish,large,30.99,1020.05,6,1
333,334,Housing,Dog,medium,25.99,673.68,5,1
334,335,Toys,Dog,small,39.0,1411.57,6,1
335,336,Housing,Dog,medium,25.98,674.22,4,0
336,337,Equipment,Cat,small,27.84,1030.21,4,0
337,338,Food,Fish,medium,21.02,543.97,3,1
338,339,Food,Bird,medium,41.0,1208.27,5,1
339,340,Toys,Fish,small,29.13,965.84,5,1
340,341,Medicine,Fish,small,19.84,657.38,5,0
341,342,Medicine,Cat,small,24.85,981.18,4,0
342,343,Toys,Fish,large,33.78,1283.93,4,1
343,344,Unknown,Cat,small,27.78,1026.38,6,0
344,345,Food,Fish,medium,21.02,540.34,2,0
345,346,Accessory,Bird,medium,33.15,860.51,6,1
346,347,Accessory,Cat,small,27.93,706.7,0,1
347,348,Equipment,Dog,medium,28.05,870.3,3,1
348,349,Medicine,Bird,medium,34.96,1200.15,4,0
349,350,Housing,Dog,small,30.73,869.43,6,1
350,351,Medicine,Fish,small,19.99,663.63,6,1
351,352,Equipment,Cat,small,28.11,1040.53,7,1
352,353,Housing,Bird,large,46.16,1557.58,3,1
353,354,Accessory,Bird,large,42.93,1409.97,3,1
354,355,Equipment,Cat,small,27.99,1044.51,8,1
355,356,Medicine,Bird,medium,34.88,1198.81,4,1
356,357,Equipment,Cat,small,28.36,1044.03,5,0
357,358,Toys,Cat,small,33.99,1345.66,6,0
358,359,Toys,Bird,medium,44.07,1517.76,5,1
359,360,Housing,Dog,small,31.22,877.81,3,1
360,361,Housing,Dog,medium,27.93,674.73,0,1
361,362,Housing,Bird,large,46.11,1565.71,7,0
362,363,Equipment,Fish,small,22.91,700.94,3,1
363,364,Accessory,Bird,medium,33.11,864.73,4,1
364,365,Accessory,Dog,large,32.79,1060.94,5,0
365,366,Equipment,Cat,medium,23.07,799.68,5,1
366,367,Equipment,Cat,small,27.81,1025.05,7,1
367,368,Food,Dog,medium,30.89,885.79,5,0
368,369,Equipment,Cat,small,27.92,1031.79,3,1
369,370,Unknown,Dog,large,27.93,1462.67,0,1
370,371,Medicine,Fish,small,20.03,665.55,6,1
371,372,Toys,Fish,small,28.97,961.73,4,1
372,373,Equipment,Fish,medium,18.12,514.67,3,1
373,374,Food,Fish,medium,21.04,540.38,5,1
374,375,Housing,Fish,medium,27.93,370.28,0,0
375,376,Equipment,Cat,small,27.9,1026.74,6,0
376,377,Equipment,Cat,medium,22.88,789.06,4,1
377,378,Medicine,Fish,small,20.21,666.75,4,1
378,379,Equipment,Cat,small,27.88,1032.4,7,1
379,380,Food,Dog,small,35.76,1112.35,4,1
380,381,Food,Fish,small,25.76,731.75,4,1
381,382,Medicine,Cat,small,24.94,979.15,9,0
382,383,Food,Fish,small,26.05,747.96,2,1
383,384,Equipment,Dog,medium,28.0,871.81,5,1
384,385,Toys,Fish,large,34.09,1301.35,9,1
385,386,Equipment,Fish,medium,18.08,510.02,4,1
386,387,Housing,Dog,small,30.86,871.1,3,0
387,388,Food,Dog,medium,31.08,889.15,5,0
388,389,Medicine,Bird,medium,35.11,1216.53,6,0
389,390,Equipment,Fish,small,22.93,702.94,5,0
390,391,Food,Bird,medium,40.89,1208.03,4,1
391,392,Housing,Dog,medium,25.92,674.67,6,1
392,393,Equipment,Cat,small,28.15,1034.36,7,1
393,394,Medicine,Cat,medium,27.93,745.83,0,1
394,395,Housing,Bird,medium,27.93,958.94,0,0
395,396,Toys,Fish,medium,23.86,741.11,6,1
396,397,Medicine,Dog,medium,24.8,837.19,4,0
397,398,Equipment,Fish,small,23.11,716.78,5,0
398,399,Toys,Fish,large,33.97,1289.12,6,0
399,400,Accessory,Dog,large,33.14,1065.51,2,0
400,401,Equipment,Cat,small,28.06,1030.25,7,0
401,402,Toys,Fish,small,28.85,971.26,4,0
402,403,Accessory,Bird,large,42.88,1416.28,5,1
403,404,Housing,Fish,small,21.36,541.92,4,1
404,405,Food,Bird,large,50.92,1849.66,5,0
405,406,Food,Cat,small,27.93,1065.98,0,1
406,407,Medicine,Fish,small,19.95,665.53,6,0
407,408,Toys,Cat,small,34.24,1361.1,8,0
408,409,Equipment,Cat,small,28.04,1035.07,4,0
409,410,Food,Bird,medium,41.13,1211.2,5,0
410,411,Housing,Cat,small,26.19,826.92,3,1
411,412,Housing,Cat,small,26.44,834.68,4,0
412,413,Housing,Dog,medium,26.01,673.05,3,0
413,414,Equipment,Cat,small,27.98,1036.29,6,0
414,415,Equipment,Cat,small,27.93,1036.69,0,0
415,416,Equipment,Cat,small,27.94,1035.28,3,1
416,417,Food,Fish,medium,20.92,539.64,1,1
417,418,Housing,Cat,large,31.16,1138.04,7,0
418,419,Toys,Fish,small,29.13,973.42,6,0
419,420,Equipment,Fish,small,22.87,700.78,5,1
420,421,Housing,Cat,medium,21.03,616.66,6,1
421,422,Food,Bird,large,50.91,1854.43,7,1
422,423,Equipment,Cat,small,27.94,1034.34,5,1
423,424,Housing,Bird,small,41.01,1191.23,5,0
424,425,Equipment,Cat,small,27.82,1031.78,6,0
425,426,Housing,Fish,large,26.0,782.43,4,0
426,427,Unknown,Cat,medium,27.93,1080.53,0,0
427,428,Equipment,Dog,small,32.95,1104.95,5,0
428,429,Food,Dog,small,36.04,1119.84,7,0
429,430,Medicine,Dog,small,30.18,1096.79,4,1
430,431,Toys,Fish,small,29.02,975.45,6,1
431,432,Accessory,Dog,large,33.1,1062.62,5,0
432,433,Toys,Dog,small,38.84,1417.22,6,1
433,434,Food,Bird,small,45.78,1456.48,6,0
434,435,Housing,Cat,small,26.29,834.96,5,1
435,436,Food,Fish,medium,20.87,543.76,4,1
436,437,Toys,Cat,small,33.89,1340.5,9,1
437,438,Equipment,Cat,small,28.04,1040.72,6,1
438,439,Food,Dog,medium,31.19,898.42,3,1
439,440,Toys,Cat,small,34.47,1374.79,4,0
440,441,Housing,Cat,medium,21.03,617.98,3,0
441,442,Toys,Bird,medium,43.95,1522.52,4,1
442,443,Food,Dog,large,40.99,1464.54,5,0
443,444,Equipment,Fish,medium,18.01,510.19,2,1
444,445,Toys,Fish,medium,24.06,744.96,5,1
445,446,Equipment,Cat,small,27.99,1029.53,5,1
446,447,Food,Bird,medium,40.9,1216.38,5,1
447,448,Toys,Fish,medium,24.02,742.64,5,1
448,449,Toys,Bird,large,54.16,2248.04,8,1
449,450,Toys,Cat,small,34.1,1344.84,6,0
450,451,Housing,Cat,small,26.08,822.27,4,1
451,452,Accessory,Bird,large,42.82,1417.18,4,0
452,453,Toys,Fish,small,28.98,973.92,6,1
453,454,Accessory,Bird,large,43.12,1434.65,5,0
454,455,Accessory,Cat,medium,17.95,512.36,3,0
455,456,Accessory,Bird,large,42.92,1411.82,4,0
456,457,Food,Fish,small,26.33,750.33,5,1
457,458,Medicine,Cat,small,25.17,994.41,9,1
458,459,Medicine,Bird,large,45.06,1871.35,8,0
459,460,Medicine,Cat,small,24.76,970.57,7,1
460,461,Medicine,Fish,small,20.09,669.38,6,1
461,462,Housing,Dog,small,31.09,886.84,3,1
462,463,Medicine,Dog,small,29.98,1081.52,7,1
463,464,Medicine,Fish,small,19.98,662.74,3,1
464,465,Equipment,Cat,medium,22.99,794.74,5,0
465,466,Food,Cat,medium,26.15,836.75,4,1
466,467,Toys,Bird,large,53.97,2246.77,8,1
467,468,Housing,Dog,small,30.96,868.61,6,0
468,469,Accessory,Bird,large,43.04,1422.27,5,1
469,470,Food,Bird,large,51.04,1861.15,4,1
470,471,Toys,Cat,small,27.93,1354.1,0,1
471,472,Medicine,Dog,medium,27.93,842.07,0,0
472,473,Equipment,Cat,medium,23.14,797.38,6,0
473,474,Equipment,Cat,small,28.3,1047.8,3,0
474,475,Medicine,Cat,medium,19.94,735.52,6,1
475,476,Food,Fish,small,26.22,735.94,2,0
476,477,Medicine,Fish,medium,14.99,461.05,5,1
477,478,Accessory,Dog,medium,22.98,578.38,3,1
478,479,Toys,Dog,small,38.98,1415.14,4,0
479,480,Equipment,Fish,small,23.09,710.71,6,0
480,481,Medicine,Dog,medium,25.06,842.67,5,1
481,482,Food,Dog,medium,27.93,888.34,0,0
482,483,Medicine,Dog,medium,27.93,840.67,0,1
483,484,Toys,Fish,small,29.01,971.13,6,0
484,485,Medicine,Bird,small,39.79,1476.14,5,1
485,486,Accessory,Bird,large,43.03,1424.58,5,1
486,487,Medicine,Cat,small,24.74,977.78,7,1
487,488,Housing,Fish,medium,15.95,369.07,3,1
488,489,Equipment,Fish,small,23.07,702.33,5,0
489,490,Housing,Dog,small,30.93,886.42,6,1
490,491,Equipment,Cat,small,27.83,1025.24,4,1
491,492,Toys,Cat,small,27.93,1371.3,0,1
492,493,Housing,Dog,small,30.81,864.88,3,1
493,494,Food,Bird,medium,40.83,1196.56,4,1
494,495,Food,Dog,large,40.91,1460.29,6,1
495,496,Food,Fish,small,25.7,727.87,3,1
496,497,Food,Cat,small,31.03,1072.2,6,1
497,498,Equipment,Dog,large,37.89,1440.06,4,1
498,499,Equipment,Cat,medium,22.9,787.62,6,0
499,500,Toys,Fish,large,34.17,1296.58,5,1
500,501,Housing,Cat,small,27.93,830.74,0,0
501,502,Housing,Bird,medium,36.01,962.21,5,0
502,503,Housing,Fish,medium,16.17,374.04,4,1
503,504,Medicine,Cat,medium,27.93,735.57,0,0
504,505,Housing,Fish,medium,15.94,365.3,4,0
505,506,Housing,Bird,small,40.97,1204.78,6,1
506,507,Accessory,Bird,medium,33.04,861.89,5,1
507,508,Housing,Dog,medium,26.2,678.22,2,1
508,509,Toys,Dog,small,39.19,1419.66,3,1
509,510,Medicine,Cat,medium,19.97,736.3,6,1
510,511,Housing,Dog,medium,26.03,675.41,7,0
511,512,Food,Cat,large,36.0,1408.16,6,1
512,513,Toys,Dog,small,38.66,1403.4,5,0
513,514,Toys,Fish,medium,23.95,742.87,7,1
